Type,Udbudsform,Energimærke,Varmekilde,Byggeår,Rum,Bad,Toilet,Plan,Boligareal,Kælder,Garage,Grundareal,Kontantpris,Ejerudgift,address,Ombygget,Carport,Udhus,Fritliggende overdækning,Etage,Leje pr. md.,Depositum,Udestue,Ukendt bygning,Vindfang,Overdækket areal,Overdækning,Hønsehus,Legehus,Lade og garage,Tiloversbleven landbrugsbygning,Udhus (gildesal),Erhverv,Købspris,Teknisk Pris,Ydelse,Drivhus,"Stald til kvæg, får mv.","Maskinhus, garage mv.","Lade til foder, afgrøder mv.",pulterrum,Fritliggende udestue,Væksthus,Bygning til industri uden integreret produktionsapparat,Altan,Skur,,overdækket areal,Anneks,Anneks i tilknytning til helårsbolig.,Anden bygning til landbrug mv.,altan/terrasse,Overdækket terrasse,Lade/garage,Maskinhus,"(UDFASES) Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign",Pulterrum,kælderrum,Pejsestue,Stald,Lade,Kælderrum,Loftrum,Altan ,Anneks i tilknytning til fritids- og sommerhus,Fritliggende enfamiliehus,"Lade til halm, hø mv.",Ukendt,Depotrum ,Fyrrum,Værksted,Maskinhus&nbsp;,Staldbygning,altan,Drivhus 2,Sommerhus,kælder,Redskabsrum,Garage/udhus,Bolig,Disp. rum,Brændeskur,Anden bygning til serviceerhverv,Udestue ,Stald til svin,Stald til fjerkræ,Bygning til kontor,Landbrugsbygning,Svinestald,tagetage,Cykelskur,Udhuse,Bygning til detailhandel,udestue,garage/udhus,værksted,"maskinhus, garage mv.",Andre bygninger til landbrug mv.,Overdækning/brændeskur,Indendørs swimmingpool rum,Overdækkede arealer,Carport/udhus,Fællesrum i bygning 2 (værksted) ,Carport/Skur,altan/tagterrasse,areal af åben altan/tagterrasse,Anneks indeholdt i det samlede boligareal,Depotrum,Bygning til lager,Overdækket terrasse ,"Anden bygning til transport, handel etc",Værksted 109 m2 + 3 vær. til bolig 94 m2,"Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri",Underetage,Hestestald,Ridehal,Anden bygning til fritidsformål,Beboelse,Swimming pool,Erhverv - Værksted/Lade bygning,"Nørrebro 8B, stuen Værksted ",Andel fælleshus,Kælder under garage,balkonareal,Lagerbygning,Anden bygning til institutionsformål,Kælderum ,Pulterrum på loftet,Loftværelse ,"Kælder, jf. BBR-meddelelse",Stald&nbsp;,Pavillon,tagterrasse,Gammel mølle - bygning til fritidsformål,Badeværelse i kælder godkendt til beboelse,Parkeringspergola,anden villa,"Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign",Hundehus,Bygning til erhvervsmæssig produktion,Bygning til erhvervsmæssig produktion i,210,Anden bygning til produktion,Fritliggende udhus,Pulterrum i kælder,Anden bygning til helårsbeboelse,Orangeri,Overdækket areal ,Teknikrum,Isoleret skur/disponibelt rum,Overdækket terasse,staldbygning,maskinhus,Værksted/erhverv,Garage/Værksted,Lejlighed,Altan/terrasse,hobbyrum/indbygget udhus,stue/udestue,Depotrum i kælder,Bygning til træning og opstaldning af heste,Udekøkken/Udhus,Brugsret kælderrum,Erhvervsdel,Andel i fællesareal,Udhus/Værksted,Overterrasse/overdækning,Vaskehus,Overdækket altan,Erhvervsareal,Anneks med erhvervsstatus,Overdækket terrasse jf. fælles BBR,Overdækket arealt,Minkhal,Lysthus (ikke registreret på BBR),Garage (ikke registreret på BBR),Loftsrum,depotrum,Bygning til parkering af flere end to køretøjer i tilknytning til boliger,Kælder i maskinhus,Garage i kælder,hems og loftrum,øvrige arealer,Dobbelthus,Bygning til parkering- og transportanlæg,Fordelingstal:   238/710,Altan på ca. 6m2,Uudmyttet loftsrum,Værksted/udhus,overdækning,Erhverv - Anden bygning til landbrug mv.,"Erhverv - Lade til foder, afgrøder mv.",Strygestue,Skabsrum,Viktuolierum,Kælderum,garage,Erhverv. Heraf er 30m² udhus inkluderet.,Carport/Udhus,Voliere,Havepavillion,Carport/skur,udhus med indbygget carport på 21 kvm
Villa,Salg,C,Naturgas,1982,6,2,2,1,177,,21,1.072,4.350.000,4.191,"Majengen 47, Jersie 2680 Solrød Strand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,A2015,Fjernvarme,2022,5,2,2,,212,,52,819,5.795.000,3.694,Seglager 45 8370 Hadsten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,E,Centralvarme med én fyringsenhed,1970,4,1,1,1,122,,16,970,950.000,1.908,"Kløvevej 14, Skørring 8544 Mørke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,B,Centralvarme med én fyringsenhed,2009,5,2,2,2,230,,66,1.318,3.695.000,2.439,"Ejersmindevej 11, Skanderup 6640 Lunderskov",,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme/blokvarme,1988,7,2,2,,200,,30,1.009,2.195.000,3.131,Islandsgade 17 6950 Ringkøbing,2011,,5,10,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,D,Fjernvarme,1967,3,1,1,1,105,,,14.240,,,"Rødovrevej 315A, 3. 8. 2610 Rødovre",2001,,,,3.,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Centralvarme med én fyringsenhed,1928,6,1,1,2,124,,,801,1.595.000,2.017,"Trønningevej 10, Kundby 4520 Svinninge",,,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Fjernvarme,1924,4,1,2,1,157,29,,667,7.495.000,4.725,Smakkegårdsvej 99 2820 Gentofte,,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,C,Fjernvarme,1955,5,2,2,1,136,,,,2.995.000,4.122,"Peder Skrams Gade 31, 1. tv. 9000 Aalborg",2004,,,,1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa / Fritidsbolig,Salg,,Elvarme,1875,3,1,1,1,74,,,295,595.000,1.287,"Pollerupvej 38, Pollerup 4780 Stege",1975,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fritidsbolig,Salg,,Varmepumpe,1989,4,1,1,1,79,,,1.301,1.350.000,1.565,A Johnsons Vej 38 4793 Bogø By,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helårsgrund,Salg,,Individuel - etablering betales af køber,,,,,,,,,915,895.000,1.174,Søndermarken 140 4340 Tølløse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Centralvarme med én fyringsenhed,1923,4,1,2,2,136,,,637,,,Stengårdsvej 4 3650 Ølstykke,,15,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,D,Fjernvarme/blokvarme,1867,3,1,1,1,123,,,575,,,"Viktoriagade 10A, 1. th. 1655 København V",2008,,,,1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa / Fritidsbolig,Salg,G,Centralvarme med én fyringsenhed,1971,4,1,1,2,98,55,,966,595.000,1.406,"Granvej 3, Aastrup 4850 Stubbekøbing",1975,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,,Centralvarme med én fyringsenhed,1920,3,,1,,88,,35,1.120,345.000,1.212,"Vestermosevej 5, Mosegård 5580 Nørre Aaby",,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,F,Fjernvarme,1932,6,1,2,3,166,83,,515,6.895.000,4.427,"Aldersrovej 38, Riisvangen 8200 Aarhus N",,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa / Fritidsbolig,Salg,E,Fjernvarme,1960,6,1,1,2,94,94,25,1.465,1.595.000,1.955,"Urmarken 10, Aarsdale 3740 Svaneke",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,D,Elvarme,1980,4,1,1,1,87,,,255,975.000,1.933,Birkelunden 2 7500 Holstebro,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Naturgas,1950,4,1,1,1,119,,11,671,1.495.000,2.281,Fensmarkvej 38 4700 Næstved,1976,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fritidsbolig,Salg,,Elvarme,1980,4,1,1,1,59,,,400,795.000,1.406,Birkely 63 4880 Nysted,2005,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,F,Varmepumpe,1964,3,1,1,1,100,,12,772,995.000,1.635,"Møllevej 6, Tappernøje 4733 Tappernøje",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Fjernvarme/blokvarme,1967,4,1,2,,136,,42,1.560,,,Balle Skovvej 2 8444 Balle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fritidsbolig,Salg,,Varmepumpe,1974,4,1,1,,87,,,2.191,,,Muffparken 23 6853 Vejers Strand,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,E,Fjernvarme,1895,7,2,2,4,202,51,,236,4.995.000,2.194,Oluf Bagers Gade 56 5000 Odense C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,C,Fjernvarme,1960,3,1,1,1,80,,,7.424,,,"Slangerupgade 27D, 2. tv. 3400 Hillerød",,,,,2.,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,C,Fjernvarme,1915,4,1,1,1,110,,,,6.995.000,3.658,"Strandboulevarden 105, 3. th. 2100 København Ø",,,,,3.,,,,,,,,,,,,,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Træpiller,1938,6,1,2,2,283,,,15.634,3.495.000,4.431,Bollervej 127 8700 Horsens,1985,45,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme/blokvarme,1976,4,1,1,1,145,,,776,3.495.000,3.320,Jegstrupvænget 638 8310 Tranbjerg J,2005,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Naturgas,1978,4,1,1,1,118,,24,836,1.050.000,1.794,Slåenvej 11 4735 Mern,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,E,Fjernvarme/blokvarme,1958,5,1,1,1,112,58,,759,5.995.000,6.728,Emdrup Kærvej 10 2400 København NV,,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,A2010,Fjernvarme,1990,3,1,1,2,81,,,145,1.475.000,1.508,Hunsballevej 35 7600 Struer,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landejendom,Salg,C,Varmepumpe,1908,13,4,5,2,420,,,"26,6 ha",4.995.000,4.464,"Gejlbjergvej 28-32, Uhre 7330 Brande",2009,,,51,,,,17,,,,,,,,520,,24,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,140,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Naturgas,1974,,1,2,1,149,,30,954,1.175.000,1.970,Degnevangen 1 6851 Janderup Vestj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,E,Centralvarme med én fyringsenhed,1947,5,2,2,,137,95,18,469,6.850.000,4.872,Akacievej 29 2830 Virum,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Fjernvarme/blokvarme,1967,5,1,1,2,149,149,,1.000,2.195.000,2.709,"Lundekærsvej 12, Bellinge 5250 Odense SV",1974,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,B,Fjernvarme/blokvarme,2008,4,1,1,1,111,,,,5.795.000,4.714,"Dirch Passers Allé 23, 3. tv. 2000 Frederiksberg",,,,,3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme/blokvarme,1971,4,1,2,1,143,,,843,2.395.000,2.548,Kongevej 73 6100 Haderslev,,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,G,Elvarme,1959,4,1,1,1,102,,18,717,2.995.000,3.551,Nyvangen 46 2750 Ballerup,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,D,Fjernvarme,1898,,1,1,1,87,33,,,1.695.000,2.751,"Løkkegade 15, st.. 9000 Aalborg",2004,,,,st.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,C,Fjernvarme,1901,2,1,1,1,64,,,223,1.245.000,1.434,"Grejsdalsvej 62A, 2. th. 7100 Vejle",2003,,,,2.,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme,1973,5,1,2,1,116,,,720,2.095.000,2.381,"Kronhjortløkken 130, Korup 5210 Odense NV",,24,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Centralvarme med naturgasfyr.,1966,4,1,1,1,117,,,720,,,Birkevænget 11 4540 Fårevejle,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Centralvarme med én fyringsenhed,1967,7,1,2,1,185,,,1.321,6.450.000,6.405,Tibberup Alle 37 3060 Espergærde,1975,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,B,Fjernvarme,1902,2,1,1,1,89,,,442,1.995.000,1.702,"Drewsensvej 54, 1., Midtbyen 8600 Silkeborg",1981,,,,1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
